Question,implicit_zero_shot,explicit_zero_shot,auto_cot
Puppet Master is an episode of Glee that includes which actress and comedian?,Puppet Master is an episode of Glee that includes which actress and comedian?,"Puppet Master is an episode of Glee that includes which actress and comedian?
Let's think step by step.","Q: Puppet Master is an episode of Glee that includes which actress and comedian?
Let's think step by step.

The following is a question and answer about the episodes that include which actress or comedian.

The episode “The Puppet Master” features a puppet named “Puppet Master” who has a long history of being an abusive tyrant. This episode is based on the story of a man named “Puppet Master” who was born in Russia.
Puppet Master is a puppet who is a master of puppets. He has a long history of being an abusive tyrant who is cruel to his puppets. This puppet was born in Russia and has been an abusive tyrant for a long time.
Puppet Master has a puppet named “Puppet Master” who was born in Russia. This puppet was"
what is nociception,what is nociception,"what is nociception
Let's think step by step.","Q: what is nociception
Let's think step by step. What is the first thing that occurs?

1. What is the first thing that occurs?
2. What is the second thing that occurs?
3. What is the third thing that occurs?
4. What is the fourth thing that occurs?
5. What is the fifth thing that occurs?
6. What is the sixth thing that occurs?
7. What is the seventh thing that occurs?
8. What is the eighth thing that occurs?
9. What is the ninth thing that occurs?
10. What is the tenth thing that occurs?

1. What is the first thing that occurs?

It is the perception of pain.

2. What is the second thing that"
average starting salary university of michigan,average starting salary university of michigan,"average starting salary university of michigan
Let's think step by step.","Q: average starting salary university of michigan
Let's think step by step.

What is the average starting salary for a university of Michigan grad?
I am not sure how to calculate this.
I am not asking for the average salary for the entire university. I am asking for the average starting salary for the top 50% of the grads.

A:

This is from the 2017 University of Michigan Annual Report. The data is in the table ""Average Graduation Rate"" on page 2.

Average Graduation Rate (AGR) is a measure of the percentage of
  Michigan graduates who complete at least one year of college. The
  data was collected from the University of Michigan’s Graduate
  Record Examination Program.

So, if you are asking for"
"Which American film was released first, Tex or Snow Dogs?","Which American film was released first, Tex or Snow Dogs?","Which American film was released first, Tex or Snow Dogs?
Let's think step by step.","Q: Which American film was released first, Tex or Snow Dogs?
Let's think step by step.
Tex

Sitting on the grass,
  And I'm trying to get
  A piece of my mind,
  I watch you as you
  Look up at the sky,
  And you're smiling,
  But you're not smiling
  At all.
  You're smiling at me.
  You're smiling at me.
  You're smiling at me.
  You're smiling at me.
  You're smiling at me.
  You're smiling at me.

Snow Dogs

I'm not gonna lie,
  You're the best snow
  I ever saw,
  But you're not smiling,
  And I'm not smiling.
"
"In addition to providing voice talent for the Wallace and Gromit films, Christopher Fairbank also played Moxey in what comedy-drama series?","In addition to providing voice talent for the Wallace and Gromit films, Christopher Fairbank also played Moxey in what comedy-drama series?","In addition to providing voice talent for the Wallace and Gromit films, Christopher Fairbank also played Moxey in what comedy-drama series?
Let's think step by step.","Q: In addition to providing voice talent for the Wallace and Gromit films, Christopher Fairbank also played Moxey in what comedy-drama series?
Let's think step by step.
1. In the original Wallace and Gromit movie, Wallace was a computer-generated talking dog. Moxey was a real person.
2. In the sequel, Wallace was a computer-generated talking dog. Moxey was a real person.
3. In the third Wallace and Gromit movie, Wallace was a real dog and Moxey was a computer-generated talking dog.
4. In the fourth Wallace and Gromit movie, Wallace was a real dog and Moxey was a real person.
5. In the fifth Wallace and Gromit movie, Wallace was a real dog and Moxey was a real person.
6. In the sixth Wallace and Gromit movie"
"Which company markets Melarsomine as Immiticide in order to treat a small thread-like worm that causes filariasis in dogs, mainly, but also cats, ferrets, bears, sea lions, and coyotes?","Which company markets Melarsomine as Immiticide in order to treat a small thread-like worm that causes filariasis in dogs, mainly, but also cats, ferrets, bears, sea lions, and coyotes?","Which company markets Melarsomine as Immiticide in order to treat a small thread-like worm that causes filariasis in dogs, mainly, but also cats, ferrets, bears, sea lions, and coyotes?
Let's think step by step.","Q: Which company markets Melarsomine as Immiticide in order to treat a small thread-like worm that causes filariasis in dogs, mainly, but also cats, ferrets, bears, sea lions, and coyotes?
Let's think step by step. Melarsomine is the best natural insecticide known, but it is difficult to find. The best quality is called ""immiticide."" This means that it kills a thread-like worm, but not the mosquito. The thread-like worm is usually found in the skin of a dog. It is a small worm that grows to about 2 inches in length. It is found in the skin of the dog, but not in the skin of the cat or the ferret.
It is a small thread-like worm that grows to about 2 inches in length. It is found in the skin of the dog, but not in the skin of the cat or the ferret.
It is a small thread-like worm that grows to"
What lake is the farm Peter Gideon owned?,What lake is the farm Peter Gideon owned?,"What lake is the farm Peter Gideon owned?
Let's think step by step.","Q: What lake is the farm Peter Gideon owned?
Let's think step by step.

A: The first lake, the lake of the house of God, which is the lake of the Hinnom.

1:1 - 1:3. The first lake was the lake of the Hinnom, which was the first of the rivers of the plain, which was the first of the seas of the plain, which was the first of the fountains of the waters of the sea, which was the first of the springs of the waters of the sea.

1:4-1:6. The first of the fountains of the waters of the sea, which was the first of the springs of the waters of the sea, which was the first of the springs of the waters of the"
describe the structures of the human alimentary canal,describe the structures of the human alimentary canal,"describe the structures of the human alimentary canal
Let's think step by step.","Q: describe the structures of the human alimentary canal
Let's think step by step. The alimentary canal is a tube through which food and water are passed. The alimentary canal is about 30 to 50 centimeters long.

There are four main parts of the alimentary canal: the small intestine, the large intestine, the cecum, and the rectum.

There are a few exceptions to the above:

The stomach and the gallbladder are not part of the alimentary canal. They are inside the digestive tract.

The alimentary canal is lined with a mucous membrane.

The alimentary canal is a system of tubes that carry food and liquids from the stomach to the rest of the body.

The alimentary canal is a tube through which food and liquids are passed"
What is felix baumgartner redbull athlete id?,What is felix baumgartner redbull athlete id?,"What is felix baumgartner redbull athlete id?
Let's think step by step.","Q: What is felix baumgartner redbull athlete id?
Let's think step by step.

A: It's the first step of the process, where you have to get a passport.
It's the first step of the process, where you have to get a passport.

It's the first step of the process, where you have to get a passport.

It's the first step of the process, where you have to get a passport.

It's the first step of the process, where you have to get a passport.

It's the first step of the process, where you have to get a passport.

It's the first step of the process, where you have to get a passport.

It's the first step of the process, where you have to get"
how do you enable audio,how do you enable audio,"how do you enable audio
Let's think step by step.","Q: how do you enable audio
Let's think step by step.

A: I'm using the following method, which I found somewhere.

Open up your VLC media player.
Select the audio track you want to play.
Click on the play button.
Choose the output format, if you don't know, you can use the
  following format:

AAC, mp3, wav, ogg, flac, etc.

Then click on the ""Apply"" button.

You are done!

A:

A: I'm using the following method, which I found somewhere.

You can find the method at the following page.

Open up your VLC media player.
Select the audio track you want to"
the differences between bacteria viruses fungi and bacteria,the differences between bacteria viruses fungi and bacteria,"the differences between bacteria viruses fungi and bacteria
Let's think step by step.","Q: the differences between bacteria viruses fungi and bacteria
Let's think step by step.
1. Bacteria viruses fungi
Bacteria viruses fungi
Bacteria viruses fungus
Bacteria viruses fungus
2. Bacteria viruses fungus
Bacteria viruses fungus
Bacteria viruses fungus
Bacteria viruses fungus
Bacteria viruses fungus
3. Bacteria viruses fungus
Bacteria viruses fungus
Bacteria viruses fungus
Bacteria viruses fungus
Bacteria viruses fungus
Bacteria viruses fungus
4. Bacteria viruses fungus
Bacteria viruses fungus
Bacteria viruses fungus
Bacteria viruses fungus
Bacteria viruses fungus
Bacteria viruses fungus
Bacteria viruses fungus
5. Bacteria viruses fungus
Bacteria viruses fungus
Bacteria viruses fungus
Bacteria viruses fungus
Bacteria viruses fungus
Bacteria viruses fungus"
"A television show originaly aired on December 29, 1996 was written by a graduate of what University?","A television show originaly aired on December 29, 1996 was written by a graduate of what University?","A television show originaly aired on December 29, 1996 was written by a graduate of what University?
Let's think step by step.","Q: A television show originaly aired on December 29, 1996 was written by a graduate of what University?
Let's think step by step.

1. The original series was written by a graduate of what University?

2. What is the purpose of the show?

3. What is the title of the show?

4. What was the name of the show?

5. What is the name of the show?

6. What is the name of the show?

7. What is the name of the show?

8. What is the name of the show?

9. What is the name of the show?

10. What is the name of the show?

11. What is the name of the show?

12. What is the name of the show?

"
Which follows the Shining?,Which follows the Shining?,"Which follows the Shining?
Let's think step by step.","Q: Which follows the Shining?
Let's think step by step. First, we have the Shining. This is a
sprawling, multi-story, multi-level structure.
It has the Shining, which is a great big, long, open-air
building with a lot of people in it.
It has a lot of people.
It has a lot of people.
It has a lot of people.
It has a lot of people.
It has a lot of people.
It has a lot of people.
It has a lot of people.
It has a lot of people.
It has a lot of people.
It has a lot of people.
It has a lot of people.
It has a lot of people.
It has a"
how many points for a pass at level 3 btec ICT,how many points for a pass at level 3 btec ICT,"how many points for a pass at level 3 btec ICT
Let's think step by step.","Q: how many points for a pass at level 3 btec ICT
Let's think step by step.

A:

I'm going to make it easier for you.
First of all, I'm going to say that you will be tested on your knowledge of the subject. You will have to answer multiple choice questions. You will be graded on your knowledge of the subject.
I will also make it easier for you to answer the questions. I will make it easier for you to do the questions.
The first question will be about the ICT. I will give you the answer.
The next question will be about the Btec. I will give you the answer.
The next question will be about the Btec ICT. I will give you the answer.
The next question will be about the Btec"
What is the habitat of Typha?,What is the habitat of Typha?,"What is the habitat of Typha?
Let's think step by step.","Q: What is the habitat of Typha?
Let's think step by step.
1. Typha are carnivorous plants.
2. They are able to withstand high temperatures.
3. They are able to survive in the rain.
4. They are able to survive in the desert.
5. They are able to survive in the forest.
6. They are able to survive in the marsh.
7. They are able to survive in the bog.
8. They are able to survive in the forest.
9. They are able to survive in the rain.
10. They are able to survive in the desert.
11. They are able to survive in the marsh.
12. They are able to survive in the bog.
13. They are able to survive in"
How many presenters are for Top Gear?,How many presenters are for Top Gear?,"How many presenters are for Top Gear?
Let's think step by step.","Q: How many presenters are for Top Gear?
Let's think step by step.

Q: How many presenters are for Top Gear?
A: There's an awful lot of presenters.

Q: How many presenters are for Top Gear?
A: There's an awful lot of presenters.

Q: How many presenters are for Top Gear?
A: There's an awful lot of presenters.

Q: How many presenters are for Top Gear?
A: There's an awful lot of presenters.

Q: How many presenters are for Top Gear?
A: There's an awful lot of presenters.

Q: How many presenters are for Top Gear?
A: There's an awful lot of presenters."
What GSRR rating did World of Warcraft get?,What GSRR rating did World of Warcraft get?,"What GSRR rating did World of Warcraft get?
Let's think step by step.","Q: What GSRR rating did World of Warcraft get?
Let's think step by step.

1) The original rating of GSRR was a 7.
2) The new rating was a 7.
3) World of Warcraft's GSRR was a 7.

4) The World of Warcraft GSRR was a 7.

5) The World of Warcraft GSRR was a 7.

6) The World of Warcraft GSRR was a 7.

7) The World of Warcraft GSRR was a 7.

8) The World of Warcraft GSRR was a 7.

9) The World of Warcraft GSRR was a 7.

10) The World of Warcraft GSRR was a 7.

11) The World"
how accurate is an ultrasound in determining age of fetus,how accurate is an ultrasound in determining age of fetus,"how accurate is an ultrasound in determining age of fetus
Let's think step by step.","Q: how accurate is an ultrasound in determining age of fetus
Let's think step by step.

A: The ultrasound can be used to estimate the age of a fetus if the mother is pregnant and has a certain time of pregnancy.

Let's start with the first stage, the gestational age. A woman's pregnancy is usually divided into five stages, called trimesters. The trimester is the time during which the fetus is growing. The first trimester is the most common one. In a second trimester, the fetus is at a stage when it is about to grow, but it is still not ready to deliver. In a third trimester, the fetus is about to start to deliver, but is still in a stage where it is still not ready to deliver. In a fourth trimester, the fetus is"
average cost to tile bathroom floor,average cost to tile bathroom floor,"average cost to tile bathroom floor
Let's think step by step.","Q: average cost to tile bathroom floor
Let's think step by step.

For the bathroom floor, let's assume the following:

Tile is used only in the shower
Tile is used in the bathroom
Tile is used in both the shower and the bathtub

What is the average cost to tile a bathroom floor?
What is the minimum cost to tile a bathroom floor?
What is the maximum cost to tile a bathroom floor?

A:

The answer is:

$0.13$ per square foot

The following information is taken from this article.
Let's go step by step:

There are two options to tile a bathroom floor:

Tile the entire floor with tiles.
Tile the bathroom floor with tiles.

Tile the"
"Who was born first, James Schuyler or Robert Lowell?","Who was born first, James Schuyler or Robert Lowell?","Who was born first, James Schuyler or Robert Lowell?
Let's think step by step.","Q: Who was born first, James Schuyler or Robert Lowell?
Let's think step by step.

1. Why was James Schuyler born first, and not Robert Lowell?

2. How did James Schuyler get the money to start his life of a poet?

3. How did Robert Lowell get the money to start his life of a poet?

4. What were the characteristics of the two poets?

5. Who was the more talented poet?

6. What was James Schuyler's life like?

7. Who was the more talented poet?

8. How did James Schuyler's life change after the death of his father?

9. How did James Schuyler's life change after the death of his mother?

10"
what is the scientific name for Siboglinidae,what is the scientific name for Siboglinidae,"what is the scientific name for Siboglinidae
Let's think step by step.","Q: what is the scientific name for Siboglinidae
Let's think step by step.
Siboglinidae is a family of a small, small insect, which is one of the smallest in the order of Lepidoptera. They are mostly found in the tropical areas of the world, especially in the tropical Africa. The species in this family are also known as the ""small blue flies"".
The family is composed of three genera:
Siboglinus
Siboglinus niger (Siboglinus niger)
Siboglinus tessellatus (Siboglinus tessellatus)
The family Siboglinidae consists of one species, Siboglinus niger, which is a common fly in tropical and subtropical"
At what time did Ulaanbaatar have a population of 1.372e+06?,At what time did Ulaanbaatar have a population of 1.372e+06?,"At what time did Ulaanbaatar have a population of 1.372e+06?
Let's think step by step.","Q: At what time did Ulaanbaatar have a population of 1.372e+06?
Let's think step by step.

A: At what time did Ulaanbaatar have a population of 1.372e+06?

In the year 2356 B.C., the year in which the Mongol invasion of China was launched, Ulaanbaatar had a population of 1.372e+06.

In the year 2356 B.C., the year in which the Mongol invasion of China was launched, the city of Ulaanbaatar had a population of 1.372e+06.

In the year 2356 B.C., the year in which the Mongol invasion of China was launched, the city of Ulaanbaatar had a population of 1.372e+06.

In"
Tell me the designation for an administrative territorial entity that replaces domain and which contains the word japan in their name,Tell me the designation for an administrative territorial entity that replaces domain and which contains the word japan in their name,"Tell me the designation for an administrative territorial entity that replaces domain and which contains the word japan in their name
Let's think step by step.","Q: Tell me the designation for an administrative territorial entity that replaces domain and which contains the word japan in their name
Let's think step by step.
First, the administrative territorial entity is called ""domestic jurisdiction"" (e.g., the ""domestic jurisdiction"" of a state).
Second, the administrative territorial entity is called ""administrative territorial entity"" (e.g., the ""administrative territorial entity"" of a state).
Third, the administrative territorial entity is called ""administrative territorial unit"" (e.g., the ""administrative territorial unit"" of a state).
Fourth, the administrative territorial entity is called ""administrative territorial unit"" (e.g., the ""administrative territorial unit"" of a state).
Fifth, the administrative territorial entity is called ""administrative territorial unit"" (e.g., the ""administrative territorial unit"""
Who are the children and siblings of Alan Alda?,Who are the children and siblings of Alan Alda?,"Who are the children and siblings of Alan Alda?
Let's think step by step.","Q: Who are the children and siblings of Alan Alda?
Let's think step by step.

Let's think step by step.

Step 1: Alan Alda, who is now deceased, was the first child of Joseph and Eunice Alda. He was born on July 25, 1946, at 9:30 p.m. in the home of Joseph and Eunice Alda.

Step 2: Joseph and Eunice Alda had six children:

Step 3: Alan Alda, who is now deceased, was the second child of Joseph and Eunice Alda. He was born on December 5, 1950, at 8:30 a.m. in the home of Joseph and Eunice Alda.

Step 4: Joseph and Eunice Alda had"
What sport are both Troy Aikman and the 1989 Cotton Bowl Classic known for?,What sport are both Troy Aikman and the 1989 Cotton Bowl Classic known for?,"What sport are both Troy Aikman and the 1989 Cotton Bowl Classic known for?
Let's think step by step.","Q: What sport are both Troy Aikman and the 1989 Cotton Bowl Classic known for?
Let's think step by step. Troy Aikman was a star running back in college, and the Cotton Bowl was a big part of the college football season.
There were several reasons why the Cotton Bowl was so important. The first was that it was the first time a college football game had been played at the Cotton Bowl Stadium. The stadium was built in the 1950s, and the Cotton Bowl was the first game played in it.
There was a lot of pressure on college football, and the Cotton Bowl was the first time there was a big game at the stadium.
The second reason was that the Cotton Bowl was the first college football game played in the southern part of the United States. In the 1930s, the Cotton Bowl was the first game played in the"
Term Life stars an American actress and singer who first became known for her portrayal of what role in True Grit?,Term Life stars an American actress and singer who first became known for her portrayal of what role in True Grit?,"Term Life stars an American actress and singer who first became known for her portrayal of what role in True Grit?
Let's think step by step.","Q: Term Life stars an American actress and singer who first became known for her portrayal of what role in True Grit?
Let's think step by step.
1. She was born in the early 1920s and was an actress at the time.
2. She was a child actress.
3. She was a child actress.
4. She had a part in a play as a child actress.
5. She had a part in a play as a child actress.
6. She had a part in a play as a child actress.
7. She had a part in a play as a child actress.
8. She had a part in a play as a child actress.
9. She had a part in a play as a child actress.
10. She had a part in a play as a child actress.
11. She had a part in"
"Benjamin Saunders (born April 13, 1983), is an American mixed martial artist who currently fights in the Welterweight division of the UFC he was on fighting on Team Serra, Matthew John Serra (born June 2, 1974) is an American former professional mixed martial artist, Brazilian Jiu-Jitsu practitioner who competed for the Ultimate Fighting Championship and which occupation?","Benjamin Saunders (born April 13, 1983), is an American mixed martial artist who currently fights in the Welterweight division of the UFC he was on fighting on Team Serra, Matthew John Serra (born June 2, 1974) is an American former professional mixed martial artist, Brazilian Jiu-Jitsu practitioner who competed for the Ultimate Fighting Championship and which occupation?","Benjamin Saunders (born April 13, 1983), is an American mixed martial artist who currently fights in the Welterweight division of the UFC he was on fighting on Team Serra, Matthew John Serra (born June 2, 1974) is an American former professional mixed martial artist, Brazilian Jiu-Jitsu practitioner who competed for the Ultimate Fighting Championship and which occupation?
Let's think step by step.","Q: Benjamin Saunders (born April 13, 1983), is an American mixed martial artist who currently fights in the Welterweight division of the UFC he was on fighting on Team Serra, Matthew John Serra (born June 2, 1974) is an American former professional mixed martial artist, Brazilian Jiu-Jitsu practitioner who competed for the Ultimate Fighting Championship and which occupation?
Let's think step by step.

He is a former professional mixed martial artist who fought in the UFC and on the Team Serra.

He is also a Brazilian Jiu-Jitsu practitioner who competed for the Ultimate Fighting Championship.

He is also a former professional mixed martial artist who competed in the UFC and on the Team Serra.

He is a former professional mixed martial artist who fought in the UFC and on the Team Serra.

He is also a Brazilian Jiu-Jitsu practitioner who competed for the Ultimate Fighting Championship.

Let's think step by step.

He is a former professional mixed martial artist who fought in the UFC and on the Team Serra.

He is also a Brazilian Jiu-Jitsu practitioner"
insurance carrier number valid format,insurance carrier number valid format,"insurance carrier number valid format
Let's think step by step.","Q: insurance carrier number valid format
Let's think step by step.

Let's say that you want to get a valid insurance carrier number for your insurance policy.

Get the first and last names of the people who are applying for your insurance.
Ask for their phone numbers.
Check the phone numbers.

Here's the result:

This is the first name:

This is the last name:

This is the phone number:

Here's the insurance carrier number:

This is the insurance carrier number valid format:

The first name of the insurance carrier is:

This is the last name of the insurance carrier is:

This is the phone number of the insurance carrier is:

Here's the insurance carrier number valid format:"
Which acid anhydride containing oxygen has the lowest thermal conductivity ?,Which acid anhydride containing oxygen has the lowest thermal conductivity ?,"Which acid anhydride containing oxygen has the lowest thermal conductivity ?
Let's think step by step.","Q: Which acid anhydride containing oxygen has the lowest thermal conductivity ?
Let's think step by step.
The anhydride with oxygen is called $\ce{O2-CH3}$
$\ce{O2-CH3}$ has the lowest thermal conductivity.
It's easy to see that $\ce{O2-CH3}$ is a low-melting substance, so it can be heated and cooled easily.
It can be heated to about 300$^\circ$C, and it can be cooled to about 100$^\circ$C.
It can be heated to about 500$^\circ$C, and it can be cooled to about 250$^\circ$C.
It can be heated to about 800$^\circ$C, and it can"
"When was the American musical theatre lyricist who sang  ""Day by Day"" born? ","When was the American musical theatre lyricist who sang  ""Day by Day"" born? ","When was the American musical theatre lyricist who sang  ""Day by Day"" born? 
Let's think step by step.","Q: When was the American musical theatre lyricist who sang  ""Day by Day"" born? 
Let's think step by step.

A. 1827

Q. When was the American musical theatre lyricist who sang ""Day by Day"" born?

A. 1827.

Q. How old was this lyricist?

A. He was born in Boston, Massachusetts, on February 5, 1827.

Q. What was his name?

A. Richard D. Farrar.

Q. How did he get his name?

A. He was a native of Boston, Massachusetts.

Q. What did he sing?

A. ""Day by Day.""

Q. When did he sing it?

A. 1834.

Q. What was his"
"WRBJ-FM is licensed to which Rankin County, Mississippi town?","WRBJ-FM is licensed to which Rankin County, Mississippi town?","WRBJ-FM is licensed to which Rankin County, Mississippi town?
Let's think step by step.","Q: WRBJ-FM is licensed to which Rankin County, Mississippi town?
Let's think step by step.

A: WRBJ-FM is licensed to Rankin County, Mississippi.
B: Rankin County is the name of a town, which is located in Rankin County, Mississippi.

Q: WRBJ-FM is licensed to which town?

A: WRBJ-FM is licensed to Rankin County, Mississippi.

Q: WRBJ-FM is licensed to which town?

A: WRBJ-FM is licensed to Rankin County, Mississippi.

Q: WRBJ-FM is licensed to which town?

A: WRBJ-FM is licensed to Rankin County, Mississippi.

Q: WRBJ-FM is"
how to treat dry skin in kids,how to treat dry skin in kids,"how to treat dry skin in kids
Let's think step by step.","Q: how to treat dry skin in kids
Let's think step by step.
Step 1: Remove all dead skin
Step 2: Wash with warm water
Step 3: Rinse with warm water
Step 4: Dry with a towel
Step 5: Apply moisturizer
Step 6: Apply lotion
Step 7: Apply sunscreen
Step 8: Apply a moisturizer
Step 9: Apply sunscreen
Step 10: Apply moisturizer
Step 11: Apply lotion
Step 12: Apply sunscreen
Step 13: Apply moisturizer
Step 14: Apply sunscreen
Step 15: Apply moisturizer
Step 16: Apply lotion
Step 17: Apply sunscreen
Step 18: Apply moisturizer
Step 19: Apply lotion
Step 20: Apply sunscreen
Step 21: Apply moisturizer
Step 22"
